route_id,total_mileage,total_operating_time,average_speed
BXM3,1070758.85116,92908,12.07901133125
BX5,1819437.6475,205246,9.118680651260504
BM5,531744.46132,42275,13.191804766806723
B7,1224425.9117,164307,7.592283073109244
SIM9,580804.09925,32455,18.47564963028169
B54,1280460.2324,212892,6.202542055042017
B31,615649.55792,62815,9.98422036092437
B69,865180.30013,126243,7.223208270168067
BX2,2137367.0438,366258,5.996391876470588
B82+,1965977.32243,223745,8.804044180147059
S48,1656319.566,167964,9.815349164583333
BX15,2555946.5239,404184,6.411091600420168
B36,1976519.102,255052,7.852772895378151
QM40,97240.043146,8390,13.329482503846154
Q29,890262.89,119843,7.455565230833333
B52,1934121.9971,306400,6.415779368067227
Q5,3032277.0849,336569,9.068260979166667
B16,1524153.141,208935,7.644763110504202
S93,1179056.255498,87645,13.446498095070422
Q20A,2107554.9235,272585,7.7130083025
B103,3630773.4807,440342,8.376786894117647
BX39,2280673.1315,331906,6.919381896638656
BX41+,1400655.814896,161783,8.914481011764706
QM3,92535.212858,7376,14.049352423664122
Q53+,5007814.9946,415742,11.942472008333333
B35,3093027.8515,543492,5.71621124789916
B57,1583365.7837,223668,7.386345208823529
BX23,1301770.73011,115135,11.430286
